sampler        AUC      AP       F1@0.5  prec@0.5 rec@0.5  F1_tuned  best_th
-------        ---      --       ------  -------- -------  --------  -------
none           0.6390   0.2055   0.108   1.000    0.057    0.327     0.137
class_weight   0.6685   0.1321   0.046   0.024    0.486    0.246     0.879
RandomOver     0.6669   0.1275   0.047   0.025    0.486    0.241     0.886
SMOTE          0.6699   0.1403   0.049   0.026    0.486    0.246     0.906
ADASYN         0.6732   0.1399   0.047   0.025    0.486    0.235     0.927
RandomUnder    0.6587   0.0976   0.038   0.020    0.457    0.194     0.926
NearMiss-1     0.6561   0.0654   0.047   0.024    0.514    0.119     0.790
SMOTE+Tomek    0.6699   0.1403   0.049   0.026    0.486    0.246     0.906
SMOTE+ENN      0.6736   0.1359   0.045   0.024    0.514    0.231     0.940
