feature       bayes_mean  bayes_lo  bayes_hi  ols_mean  ols_lo   ols_hi   sklearn
---------------------------------------------------------------------------------
age             -0.029    -4.782    +4.795    -0.476    -6.062   +5.110    -0.476
sex            -10.524   -15.162    -5.785   -11.407   -17.130   -5.683   -11.407
bmi            +24.073   +18.576   +29.533   +24.727   +18.506  +30.947   +24.727
bp             +14.789    +9.460   +20.042   +15.429    +9.313  +21.546   +15.429
s1              -6.398   -18.953    +5.521   -37.680   -76.635   +1.275   -37.680
s2              -1.858   -12.508    +9.424   +22.676    -9.019  +54.372   +22.676
s3              -8.382   -17.208    +0.701    +4.806   -15.063  +24.675    +4.806
s4              +5.372    -4.322   +15.140    +8.422    -6.674  +23.518    +8.422
s5             +22.897   +15.190   +30.306   +35.734   +19.664  +51.805   +35.734
s6              +3.738    -1.413    +9.149    +3.217    -2.952   +9.385    +3.217
