arch             depth  dropout   val_acc    fit_s        params
----------------------------------------------------------------
FT-Transformer       2     0.00    0.9567     23.7       335,273
FT-Transformer       2     0.10    0.9480     39.6       335,273
FT-Transformer       2     0.30    0.9340     45.4       335,273
FT-Transformer       4     0.00    0.9597    111.3     2,249,385
FT-Transformer       4     0.10    0.9607    180.3     2,249,385
FT-Transformer       4     0.30    0.9520    210.2     2,249,385
MLP                  2     0.00    0.9083      2.4        28,609
MLP                  2     0.10    0.9110      2.8        28,609
MLP                  2     0.30    0.9103      3.0        28,609
MLP                  4     0.00    0.9062      2.6        61,633
MLP                  4     0.10    0.9093      3.5        61,633
MLP                  4     0.30    0.9073      3.8        61,633
ResNet               2     0.00    0.9115      3.2       144,705
ResNet               2     0.10    0.9130      4.1       144,705
ResNet               2     0.30    0.9123      4.4       144,705
ResNet               4     0.00    0.9080      4.5       277,057
ResNet               4     0.10    0.9140      6.9       277,057
ResNet               4     0.30    0.9140      7.1       277,057
